date,price
2/4/2016,1184
2/5/2016,1184.3
2/8/2016,1224.5
2/9/2016,1223.4
2/10/2016,1219.3
2/11/2016,1268.8
2/12/2016,1257.9
2/15/2016,1208.1
2/16/2016,1227.8
2/17/2016,1233.9
2/18/2016,1249.2
2/19/2016,1254.1
2/22/2016,1233.4
2/23/2016,1248.1
2/24/2016,1263.8
2/25/2016,1263.7
2/26/2016,1245.5
2/29/2016,1260
3/1/2016,1257.9
3/2/2016,1269.7
3/3/2016,1287.4
3/4/2016,1302.3
3/7/2016,1297
3/8/2016,1295.7
3/9/2016,1290.1
3/10/2016,1306.8
3/11/2016,1295.3
3/14/2016,1281.1
3/15/2016,1266.9
3/16/2016,1267.6
3/17/2016,1300.8
3/18/2016,1288.7
3/21/2016,1279.4
3/22/2016,1285.5
3/23/2016,1260.7
3/24/2016,1259.1
3/25/2016,1216.7
3/28/2016,1257.4
3/29/2016,1273
3/30/2016,1263.6
3/31/2016,1267.6
4/1/2016,1255.6
4/4/2016,1251.4
4/5/2016,1261.2
4/6/2016,1255.5
4/7/2016,1269
4/8/2016,1274
4/11/2016,1289.1
4/12/2016,1293.1
4/13/2016,1280.6
4/14/2016,1258.8
4/15/2016,1266.4
4/18/2016,1267
4/19/2016,1287.5
4/20/2016,1289
4/21/2016,1286.2
4/22/2016,1265.5
4/25/2016,1275.8
4/26/2016,1279.1
4/27/2016,1286.5
4/28/2016,1303.1
4/29/2016,1327.7
5/2/2016,1333.6
5/3/2016,1329.1
5/4/2016,1310.6
5/5/2016,1307.1
5/6/2016,1329.4
5/9/2016,1302.2
5/10/2016,1300.6
5/11/2016,1311.9
5/12/2016,1307
5/13/2016,1308.8
5/16/2016,1311.1
5/17/2016,1314.2
5/18/2016,1313.6
5/19/2016,1295.2
5/20/2016,1295.2
5/23/2016,1294.2
5/24/2016,1272
5/25/2016,1266.7
5/26/2016,1262.9
5/27/2016,1256.9
5/30/2016,1212.15
5/31/2016,1258.6
6/1/2016,1256.5
6/2/2016,1254.2
6/3/2016,1283.9
6/6/2016,1288.7
6/7/2016,1288.1
6/8/2016,1303.3
6/9/2016,1313.7
6/10/2016,1317
6/13/2016,1328.1
6/14/2016,1325.6
6/15/2016,1326
6/16/2016,1336.6
6/17/2016,1333.9
6/20/2016,1333.8
6/21/2016,1314.2
6/22/2016,1311.7
6/23/2016,1306.6
6/24/2016,1365.7
6/27/2016,1367.7
6/28/2016,1361.1
6/29/2016,1370.3
6/30/2016,1363.9
7/1/2016,1383.2
7/4/2016,1352
7/5/2016,1403.3
7/6/2016,1411.7
7/7/2016,1405.5
7/8/2016,1402.5
7/11/2016,1401.8
7/12/2016,1381.2
7/13/2016,1389.5
7/14/2016,1378.2
7/15/2016,1374
7/18/2016,1375.9
7/19/2016,1379.3
7/20/2016,1366.7
7/21/2016,1379.2
7/22/2016,1372.5
7/25/2016,1368.3
7/26/2016,1369.6
7/27/2016,1378.1
7/28/2016,1384.9
7/29/2016,1401.8
8/1/2016,1402.3
8/2/2016,1415.5
8/3/2016,1410
8/4/2016,1414
8/5/2016,1394
8/8/2016,1391.4
8/9/2016,1396.7
8/10/2016,1401.7
8/11/2016,1400.1
8/12/2016,1392.9
8/15/2016,1396.7
8/16/2016,1405.1
8/17/2016,1396.7
8/18/2016,1405.2
8/19/2016,1394.1
8/22/2016,1391.3
8/23/2016,1393.9
8/24/2016,1376.5
8/25/2016,1370.1
8/26/2016,1369.3
8/29/2016,1370.5
8/30/2016,1360.6
8/31/2016,1354
9/1/2016,1359
9/2/2016,1371.7
9/5/2016,1331.1
9/6/2016,1397.5
9/7/2016,1393.5
9/8/2016,1386.6
9/9/2016,1379.5
9/12/2016,1370.8
9/13/2016,1367.2
9/14/2016,1369.7
9/15/2016,1361.3
9/16/2016,1353.5
9/19/2016,1360.8
9/20/2016,1361.3
9/21/2016,1374.9
9/22/2016,1386.7
9/23/2016,1383.7
9/26/2016,1386.6
9/27/2016,1372.7
9/28/2016,1365.6
9/29/2016,1368
9/30/2016,1359.3
10/3/2016,1354.8
10/4/2016,1311
10/5/2016,1310.2
10/6/2016,1294.4
10/7/2016,1293.4
10/10/2016,1302.8
10/11/2016,1298.4
10/12/2016,1296.6
10/13/2016,1301.2
10/14/2016,1299.3
10/17/2016,1300.7
10/18/2016,1307.5
10/19/2016,1314.3
10/20/2016,1312.6
10/21/2016,1312.1
10/24/2016,1306.3
10/25/2016,1317.7
10/26/2016,1310.7
10/27/2016,1315.6
10/28/2016,1322.7
10/31/2016,1319.3
11/1/2016,1334.4
11/2/2016,1354.4
11/3/2016,1350.2
11/4/2016,1352.1
11/7/2016,1326.8
11/8/2016,1322.6
11/9/2016,1322.1
11/10/2016,1313
11/11/2016,1269.1
11/14/2016,1271.7
11/15/2016,1275.7
11/16/2016,1275.1
11/17/2016,1268.6
11/18/2016,1261.2
11/21/2016,1261.6
11/22/2016,1262.8
11/23/2016,1241.7
11/24/2016,1185.55
11/25/2016,1230.3
11/28/2016,1243.4
11/29/2016,1240.3
11/30/2016,1223.2
12/1/2016,1218.5
12/2/2016,1227.2
12/5/2016,1226.5
12/6/2016,1219.8
12/7/2016,1231.4
12/8/2016,1227.2
12/9/2016,1216.8
12/12/2016,1221.1
12/13/2016,1214.4
12/14/2016,1219.1
12/15/2016,1190.8
12/16/2016,1198.6
12/19/2016,1203.6
12/20/2016,1194.7
12/21/2016,1194.2
12/22/2016,1191.5
12/23/2016,1194.5
12/26/2016,1134.55
12/27/2016,1199.6
12/28/2016,1201.7
12/29/2016,1218.9
12/30/2016,1212.2
1/2/2017,1151.05
1/3/2017,1222.4
1/4/2017,1224.8
1/5/2017,1239.8
1/6/2017,1233.4
1/9/2017,1245.3
1/10/2017,1246.2
1/11/2017,1257.7
1/12/2017,1261
1/13/2017,1259
1/16/2017,1202.85
1/17/2017,1275.1
1/18/2017,1273.4
1/19/2017,1263.2
1/20/2017,1266.9
1/23/2017,1276.6
1/24/2017,1271.8
1/25/2017,1258.8
1/26/2017,1250.6
1/27/2017,1249.4
1/30/2017,1254.1
1/31/2017,1269.5
2/1/2017,1267.2
2/2/2017,1278.3
2/3/2017,1279.9
2/6/2017,1291
2/7/2017,1294.1
2/8/2017,1296
2/9/2017,1293.1
2/10/2017,1292.2
2/13/2017,1282.6
