date,oil
6/28/2016,-0.535959984
6/29/2016,-0.446693043
6/30/2016,-0.51485253
7/1/2016,-0.485829781
7/4/2016,-0.500780894
7/5/2016,-0.590927312
7/6/2016,-0.554429006
7/7/2016,-0.655129151
7/8/2016,-0.643256208
7/11/2016,-0.671839218
7/12/2016,-0.582132539
7/13/2016,-0.672278957
7/14/2016,-0.631383265
7/15/2016,-0.619510322
7/18/2016,-0.650731764
7/19/2016,-0.676676343
7/20/2016,-0.663923923
7/21/2016,-0.672278957
7/22/2016,-0.69690432
7/25/2016,-0.743516614
7/26/2016,-0.752751125
7/27/2016,-0.796724987
7/28/2016,-0.8310246
7/29/2016,-0.810796623
8/1/2016,-0.878516371
8/2/2016,-0.902701995
8/3/2016,-0.844656497
8/4/2016,-0.796285249
8/5/2016,-0.802001851
8/8/2016,-0.748353739
8/9/2016,-0.759347204
8/10/2016,-0.805959498
8/11/2016,-0.727686023
8/12/2016,-0.683712161
8/15/2016,-0.628744833
8/16/2016,-0.591806789
8/17/2016,-0.582572278
8/18/2016,-0.519689655
8/19/2016,-0.506497496
8/22/2016,-0.571139074
8/23/2016,-0.524966518
8/24/2016,-0.583451755
8/25/2016,-0.558826392
8/26/2016,-0.545194495
8/29/2016,-0.574217244
8/30/2016,-0.601920777
8/31/2016,-0.67447765
9/1/2016,-0.742197398
9/2/2016,-0.685910854
9/5/2016,-0.658207321
9/6/2016,-0.668761048
9/7/2016,-0.63929856
9/8/2016,-0.546073972
9/9/2016,-0.622588493
9/12/2016,-0.604559209
9/13/2016,-0.665682878
9/14/2016,-0.723728376
9/15/2016,-0.709217001
9/16/2016,-0.747914
9/19/2016,-0.736041057
9/20/2016,-0.729884717
9/21/2016,-0.646334378
9/22/2016,-0.603239993
9/23/2016,-0.6841519
9/26/2016,-0.620389799
9/27/2016,-0.675796866
9/28/2016,-0.571139074
9/29/2016,-0.536839461
9/30/2016,-0.518810178
10/3/2016,-0.493745076
10/4/2016,-0.49902194
10/5/2016,-0.448891737
10/6/2016,-0.422067681
10/7/2016,-0.449771214
10/10/2016,-0.382051466
10/11/2016,-0.406676829
10/12/2016,-0.433500885
10/13/2016,-0.422067681
10/14/2016,-0.426025328
10/17/2016,-0.444054612
10/18/2016,-0.42866376
10/19/2016,-0.371058
10/20/2016,-0.422507419
10/21/2016,-0.404038397
10/24/2016,-0.418549772
10/25/2016,-0.443175134
10/26/2016,-0.477474747
10/27/2016,-0.453728861
10/28/2016,-0.498582201
10/31/2016,-0.579494108
11/1/2016,-0.587849141
11/2/2016,-0.646334378
11/3/2016,-0.676236605
11/4/2016,-0.702181183
11/7/2016,-0.666122616
11/8/2016,-0.662164969
11/9/2016,-0.649412549
11/10/2016,-0.676236605
11/11/2016,-0.731203932
11/14/2016,-0.73516158
11/15/2016,-0.625666663
11/16/2016,-0.63622039
11/17/2016,-0.642816469
11/18/2016,-0.630943526
11/21/2016,-0.551790574
11/22/2016,-0.528044689
11/23/2016,-0.531122859
11/24/2016,-0.530243382
11/25/2016,-0.614673197
11/28/2016,-0.569819858
11/29/2016,-0.651171503
11/30/2016,-0.466041543
12/1/2016,-0.394803886
12/2/2016,-0.367540091
12/5/2016,-0.362702966
12/6/2016,-0.400520488
12/7/2016,-0.451530168
12/8/2016,-0.404478136
12/9/2016,-0.375455387
12/12/2016,-0.31697015
12/13/2016,-0.31037407
12/14/2016,-0.395683363
12/15/2016,-0.401839704
12/16/2016,-0.357865842
12/19/2016,-0.348191592
12/20/2016,-0.343354467
12/21/2016,-0.331921263
12/22/2016,-0.311693286
12/23/2016,-0.308615116
12/26/2016,-0.301139559
12/27/2016,-0.269918117
12/28/2016,-0.262882299
12/29/2016,-0.275634719
12/30/2016,-0.277833412
1/2/2017,-0.264201515
1/3/2017,-0.338957081
1/4/2017,-0.298061389
1/5/2017,-0.276074458
1/6/2017,-0.265960469
1/9/2017,-0.35522741
1/10/2017,-0.405357613
1/11/2017,-0.34247499
1/12/2017,-0.309054854
1/13/2017,-0.337198126
1/16/2017,-0.330602047
1/17/2017,-0.332361001
1/18/2017,-0.393924409
1/19/2017,-0.381171989
1/20/2017,-0.334999433
1/23/2017,-0.320488059
